code	Nom prénom	nb voix	% voix	Nom prénom	nb voix	% voix
44	MACRON Emmanuel	1371637	35,50	LE PEN Marine	1262558	32,67	
75	MACRON Emmanuel	1766960	39,59	LE PEN Marine	1262321	28,28	
84	MACRON Emmanuel	2251392	40,50	LE PEN Marine	1515717	27,27	
27	MACRON Emmanuel	713977	35,83	LE PEN Marine	636161	31,93	
53	MACRON Emmanuel	1202202	46,91	LE PEN Marine	603409	23,55	
24	MACRON Emmanuel	705704	38,40	LE PEN Marine	544558	29,63	
11	MACRON Emmanuel	3494501	47,52	LE PEN Marine	1291334	17,56	
76	MACRON Emmanuel	1572080	36,35	LE PEN Marine	1341138	31,01	
32	MACRON Emmanuel	1383212	32,50	LE PEN Marine	1506910	35,40	
28	MACRON Emmanuel	936566	38,79	LE PEN Marine	740590	30,67	
52	MACRON Emmanuel	1281658	45,23	LE PEN Marine	692631	24,44	
93	MACRON Emmanuel	1214186	33,13	LE PEN Marine	1237817	33,78	
94	MACRON Emmanuel	56095	23,08	LE PEN Marine	77721	31,98	
01	MACRON Emmanuel	40229	12,73	LE PEN Marine	92106	29,15	
02	MACRON Emmanuel	46918	15,40	LE PEN Marine	73000	23,96	
03	MACRON Emmanuel	13834	13,42	LE PEN Marine	21437	20,80	
04	MACRON Emmanuel	147297	21,79	LE PEN Marine	216967	32,09	
06	MACRON Emmanuel	15708	17,00	LE PEN Marine	22694	24,56	
